1     J0002+6216    cwp+17     0.1153635682680         14  cwp+17     8.6682478274           1  cwp+17     *              0  *          *      *        *
2     J0006+1834    cnt96      0.69374767047           14  cn95       1.4414462816           3  cn95       11.41         55  bkk+16     0.86   0.86     ymw17
3     J0007+7303    aaa+09c    0.3158731909             3  awd+12     3.165827392            3  awd+12     *              0  *          1.40   *        *
4     J0011+08      dsm+16     2.55287                  0  dsm+16         0.391716           0  dsm+16     24.9           0  dsm+16     5.40   5.40     ymw17
5     B0011+47      dth78      1.240699038946          11  hlk+04     0.805997239145         7  hlk+04     30.405        13  bkk+16     1.78   1.78     ymw17

6     J0023+0923    hrm+11     0.003050203104480002     7  abb+18     327.8470205906107      7  abb+18     14.32810       4  abb+18     1.08   1.25     ymw17
7     J0024-7201Z              0.004554447383906        3  frk+17     219.5656060346         1  frk+17     24.45          4  frk+17     2.56   2.56     ymw17
8     J0024-7204aa  phl+16     0.00184                  0  phl+16       543.478261           0  phl+16     24.971         7  phl+16     2.69   2.69     ymw17
9     J0024-7204ab  phl+16     0.0037046394947985       6  frk+17     269.93179806134        4  frk+17     24.37          2  frk+17     2.54   2.54     ymw17
10    B0021-72C     mld+90     0.00575677999551635     14  frk+17     173.708218965958       4  frk+17     24.600         4  frk+17     4.69   2.59     ymw17

11    B0021-72D     mlr+91     0.00535757328486573      9  frk+17     186.651669856731       3  frk+17     24.732         3  frk+17     4.69   2.63     ymw17
12    B0021-72E     mlr+91     0.00353632915276244      4  frk+17     282.779107035000       3  frk+17     24.236         2  frk+17     4.69   2.51     ymw17
13    B0021-72F     mlr+91     0.00262357935251262      4  frk+17     381.158663656311       5  frk+17     24.382         5  frk+17     4.69   2.54     ymw17
14    B0021-72G     rlm+95     0.00404037914356515     14  frk+17     247.501525096385       8  frk+17     24.436         4  frk+17     4.69   2.56     ymw17
15    B0021-72H     mlr+91     0.00321034070935032     11  frk+17     311.49341784423        1  frk+17     24.369         8  frk+17     4.69   2.54     ymw17

16    B0021-72I     mlr+91     0.00348499206166289     13  frk+17     286.94469953049        1  frk+17     24.43          1  frk+17     4.69   2.55     ymw17
17    B0021-72J     mlr+91     0.00210063354535246      5  frk+17     476.04685844061        1  frk+17     24.588         3  frk+17     4.69   2.59     ymw17
18    B0021-72L     rlm+95     0.0043461679994616       4  frk+17     230.08774629142        2  frk+17     24.40          1  frk+17     4.69   2.55     ymw17
19    B0021-72M     mlr+91     0.0036766432176002       3  frk+17     271.98722878874        2  frk+17     24.43          2  frk+17     4.69   2.55     ymw17
20    B0021-72N     rlm+95     0.00305395434626085     10  frk+17     327.44431861739        1  frk+17     24.574         9  frk+17     4.69   2.59     ymw17

21    J0024-7204O   clf+00     0.00264334329724357      5  frk+17     378.308788360098       6  frk+17     24.356         2  frk+17     4.69   2.54     ymw17
22    J0024-7204P   clf+00     0.0036430207             3  rft+16     274.49748              2  rft+16     24.29          3  rft+16     4.69   2.52     ymw17
23    J0024-7204Q   clf+00     0.00403318118457258     15  frk+17     247.943237418920       9  frk+17     24.265         4  frk+17     4.69   2.52     ymw17
24    J0024-7204R   clf+00     0.00348046270749329     13  frk+17     287.31811946930        1  frk+17     24.361         7  frk+17     4.69   2.54     ymw17
